filename,path,size_bytes,modified,category,source_notebook,description
confusion_matrix_casa_net_v2_ft.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\confusion_matrix_casa_net_v2_ft.png,61368.0,1774027628.6134665,,,
confusion_matrix_casa_net_v3.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\confusion_matrix_casa_net_v3.png,59880.0,1774028973.7614672,,,
cumulative_scene_growth.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\cumulative_scene_growth.png,271377.0,1774018014.410402,,,
data_source_matrix.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\data_source_matrix.png,133280.0,1774018013.178392,,,
dataset_availability_summary.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\dataset_availability_summary.png,133048.0,1774018013.480914,,,
dataset_description_overview.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\dataset_description_overview.png,190027.0,1774018012.8389964,,,
erosion_benchmark_model_comparison.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\erosion_benchmark_model_comparison.png,86935.0,1774168577.7930748,evaluation/erosion,05_casa_net_training / multi-hazard benchmark,Erosion six-model comparison chart with CASA-Net included.
erosion_benchmark_ranked_leaderboard.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\erosion_benchmark_ranked_leaderboard.png,77087.0,1774168577.9805872,evaluation/erosion,05_casa_net_training / multi-hazard benchmark,Erosion ranked leaderboard by IoU.
erosion_branch_improvement_summary.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\erosion_branch_improvement_summary.png,100950.0,1774190757.1609707,evaluation/erosion,05_casa_net_training / erosion branch follow-up,"Comparison of erosion branch metrics across the shared split, optimistic overlap fine-tune, and fused active bank zone evaluation."
erosion_confusion_matrix_benchmark.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\erosion_confusion_matrix_benchmark.png,52953.0,1774168578.8532374,evaluation/erosion,05_casa_net_training / multi-hazard benchmark,Erosion CASA-Net confusion matrix on the shared multi-hazard test split.
erosion_confusion_matrix_seed.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\erosion_confusion_matrix_seed.png,51912.0,1774115723.3775234,evaluation,05_casa_net_training,Confusion matrix for the erosion branch trained on bank-corridor seed supervision.
erosion_fused_active_bank_zone_preview.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\erosion_fused_active_bank_zone_preview.png,371301.0,1774186398.998601,hazard/erosion_reference,03_mask_preparation / erosion validation sync,"Bangladesh erosion reference build showing corridor seed, independent optical reference, and fused active bank zone target."
erosion_fused_active_bank_zone_threshold_tradeoff.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\erosion_fused_active_bank_zone_threshold_tradeoff.png,171706.0,1774190757.3529904,evaluation/erosion,05_casa_net_training / erosion branch follow-up,"Threshold sweep for the erosion fused active bank zone evaluation showing precision, recall, F1, and IoU trade-offs."
erosion_loss_accuracy_curve_benchmark.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\erosion_loss_accuracy_curve_benchmark.png,156598.0,1774168585.623214,evaluation/erosion,05_casa_net_training / multi-hazard benchmark,Erosion CASA-Net training loss and validation IoU curve.
erosion_pr_roc_seed.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\erosion_pr_roc_seed.png,158354.0,1774115728.8116124,evaluation,05_casa_net_training,Precision-recall and ROC curves for the erosion branch.
erosion_precision_recall_roc_benchmark.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\erosion_precision_recall_roc_benchmark.png,159488.0,1774168584.612074,evaluation/erosion,05_casa_net_training / multi-hazard benchmark,Erosion CASA-Net precision-recall and ROC curves.
evaluation_diagrams_manifest.csv,f:\MAPATHON\sylhet_flood_2024\outputs\figures\evaluation_diagrams_manifest.csv,11929.0,1774105297.4625874,,,
expanded_label_inventory.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\expanded_label_inventory.png,69550.0,1774090240.5954182,,,
label_resource_inventory.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\label_resource_inventory.png,154564.0,1774010995.3472707,,,
landslide_benchmark_model_comparison.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\landslide_benchmark_model_comparison.png,88624.0,1774166906.474006,evaluation/landslide,05_casa_net_training / multi-hazard benchmark,Landslide six-model comparison chart with CASA-Net included.
landslide_benchmark_ranked_leaderboard.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\landslide_benchmark_ranked_leaderboard.png,77775.0,1774166906.6570385,evaluation/landslide,05_casa_net_training / multi-hazard benchmark,Landslide ranked leaderboard by IoU.
landslide_confusion_matrix_benchmark.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\landslide_confusion_matrix_benchmark.png,52983.0,1774166907.5201647,evaluation/landslide,05_casa_net_training / multi-hazard benchmark,Landslide CASA-Net confusion matrix on the shared multi-hazard test split.
landslide_confusion_matrix_seed.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\landslide_confusion_matrix_seed.png,51650.0,1774116596.2147987,evaluation,05_casa_net_training,Confusion matrix for the landslide branch trained on terrain seed supervision.
landslide_loss_accuracy_curve_benchmark.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\landslide_loss_accuracy_curve_benchmark.png,159746.0,1774166914.4931006,evaluation/landslide,05_casa_net_training / multi-hazard benchmark,Landslide CASA-Net training loss and validation IoU curve.
landslide_pr_roc_seed.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\landslide_pr_roc_seed.png,141548.0,1774116602.1075163,evaluation,05_casa_net_training,Precision-recall and ROC curves for the landslide branch.
landslide_precision_recall_roc_benchmark.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\landslide_precision_recall_roc_benchmark.png,155041.0,1774166913.507002,evaluation/landslide,05_casa_net_training / multi-hazard benchmark,Landslide CASA-Net precision-recall and ROC curves.
local_label_inventory.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\local_label_inventory.png,103866.0,1774018013.2935193,,,
metrics_overview_final.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\metrics_overview_final.png,252032.0,1774096146.317611,,,
metrics_overview_strict_precision_tuned.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\metrics_overview_strict_precision_tuned.png,237900.0,1774096145.8635592,,,
model_comparison_heatmap_final.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\model_comparison_heatmap_final.png,212747.0,1774096146.7756667,,,
model_comparison_heatmap_strict_precision_tuned.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\model_comparison_heatmap_strict_precision_tuned.png,219397.0,1774096146.5436616,,,
multi_hazard_branch_metrics.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\multi_hazard_branch_metrics.png,92954.0,1774168723.3846805,evaluation/multi_hazard,08_threshold_and_report / report sync,"Combined best saved branch metrics for flood, landslide, and erosion."
multi_hazard_label_coverage.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\multi_hazard_label_coverage.png,108970.0,1774109125.596655,dataset/evaluation,03_mask_preparation / 04_patch_generation,"Positive patch and pixel coverage for flood, erosion, and landslide supervision assets."
multi_hazard_maturity_scorecard.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\multi_hazard_maturity_scorecard.png,108939.0,1774168723.606706,evaluation/multi_hazard,08_threshold_and_report / report sync,Scorecard showing benchmark-complete artifact coverage across all hazards.
multi_hazard_pipeline_framework.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\multi_hazard_pipeline_framework.png,223787.0,1774105297.267567,,,
multi_hazard_risk_fusion.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\multi_hazard_risk_fusion.png,179861.0,1774105593.768465,,,
multi_hazard_seed_mask_preview.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\multi_hazard_seed_mask_preview.png,2462200.0,1774109172.3945222,dataset/label_preview,03_mask_preparation,Validated flood mask and initial erosion/landslide seed masks aligned to the Sylhet Sentinel-1 grid.
multi_region_quicklooks_2025.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\multi_region_quicklooks_2025.png,8048229.0,1774018016.588416,,,
precision_recall_curve_casa_net_strict_vs_final.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\precision_recall_curve_casa_net_strict_vs_final.png,154744.0,1774096206.8065724,,,
precision_recall_roc_casa_net.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\precision_recall_roc_casa_net.png,147283.0,1774022455.169582,,,
precision_recall_roc_casa_net_final.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\precision_recall_roc_casa_net_final.png,152751.0,1774089884.9941554,,,
precision_recall_roc_casa_net_optimistic.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\precision_recall_roc_casa_net_optimistic.png,143458.0,1774086541.5975568,,,
precision_recall_roc_casa_net_optimistic_tuned.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\precision_recall_roc_casa_net_optimistic_tuned.png,152751.0,1774089884.9941554,,,
precision_recall_roc_casa_net_v2.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\precision_recall_roc_casa_net_v2.png,157553.0,1774026811.3756804,,,
precision_recall_roc_casa_net_v2_ft.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\precision_recall_roc_casa_net_v2_ft.png,158705.0,1774027635.1084318,,,
precision_recall_roc_casa_net_v3.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\precision_recall_roc_casa_net_v3.png,158116.0,1774028980.4531903,,,
real_rtc_vv_vh_sylhet_june2024.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\real_rtc_vv_vh_sylhet_june2024.png,5239830.0,1774017933.5769458,,,
real_unosat_overlay_sylhet_june2024.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\real_unosat_overlay_sylhet_june2024.png,5644601.0,1774017973.6182456,,,
region_scene_summary_table.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\region_scene_summary_table.png,104899.0,1774018014.7513056,,,
regional_sentinel1_quicklook_triptych.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\regional_sentinel1_quicklook_triptych.png,4302883.0,1774096226.709227,,,
roc_auc_casa_net_strict_vs_final.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\roc_auc_casa_net_strict_vs_final.png,176118.0,1774096181.139971,,,
sample_sentinel1_quicklook.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\sample_sentinel1_quicklook.png,641066.0,1774009711.13851,,,
sample_sentinel1_quicklook_2025.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\sample_sentinel1_quicklook_2025.png,741822.0,1774018011.3782108,,,
scene_count_2025_only.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\scene_count_2025_only.png,120665.0,1774018012.6854892,,,
scene_count_by_region.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\scene_count_by_region.png,127780.0,1774018012.0326009,,,
