hazard,best_model,supervision_type,dataset_choice,checkpoint,threshold,comparison_models,Accuracy,Precision,Recall,F1,IoU,Dice,ROC_AUC,AveragePrecision,validation_status,benchmark_csv
flood,CASA-Net,validated_mask,UNOSAT Sylhet 2024 flood extent (Bangladesh),f:\MAPATHON\sylhet_flood_2024\models\casa_net_best_v3.pth,0.4499999999999999,6,0.8046421099312698,0.5366659634660219,0.8649750698123719,0.6623702762599505,0.4951820855235969,0.6623702762599505,,,externally_validated,f:\MAPATHON\sylhet_flood_2024\outputs\report\benchmark_results_best_recall_tuned.csv
landslide,CASA-Net,bangladesh_preferred_v2,Bangladesh-preferred v2 terrain supervision with Chittagong inventory-informed setup,f:\MAPATHON\sylhet_flood_2024\models\landslide_casanet_secondary_benchmark.pth,0.8499999999999999,6,0.9575712952432752,0.6766154816474482,0.7758181485770004,0.722828994518861,0.5659610118118482,0.722828994518861,0.9806540136154536,0.8087462500102568,external_event_catalog_plus_local_benchmark,f:\MAPATHON\sylhet_flood_2024\outputs\report\benchmark_results_landslide_secondary.csv
erosion,CASA-Net,bangladesh_fused_active_bank_zone_v1,Bangladesh fused active bank zone from HydroRIVERS corridor supervision plus external optical bankline-change reference,f:\MAPATHON\sylhet_flood_2024\models\erosion_optimistic_casanet_secondary_benchmark_ft.pth,0.8500000000000003,6,0.9605318546295166,0.491241364581023,0.4403095058116704,0.4643831042350715,0.3024081758385127,0.4643831042350715,0.9020746333724444,0.4223572781095562,external_fused_bank_zone_plus_local_benchmark,f:\MAPATHON\sylhet_flood_2024\outputs\report\test_metrics_erosion_fused_active_bank_zone_v1_eval_only.csv
