region_id,region_name,year,item_id,datetime
gaibandha,Gaibandha,2025,S1A_IW_GRDH_1SDV_20250512T120526_20250512T120551_059161_075733_rtc,2025-05-12T12:05:39.430837+00:00
jamalpur,Jamalpur,2025,S1A_IW_GRDH_1SDV_20250514T235535_20250514T235600_059197_075872_rtc,2025-05-14T23:55:47.934122+00:00
kurigram,Kurigram,2025,S1A_IW_GRDH_1SDV_20250512T120526_20250512T120551_059161_075733_rtc,2025-05-12T12:05:39.430837+00:00
sirajganj,Sirajganj,2025,S1A_IW_GRDH_1SDV_20250514T235600_20250514T235625_059197_rtc,2025-05-14T23:56:12.934197+00:00
sunamganj,Sunamganj,2025,S1A_IW_GRDH_1SDV_20250514T235535_20250514T235600_059197_075872_rtc,2025-05-14T23:55:47.934122+00:00
sylhet,Sylhet,2025,S1A_IW_GRDH_1SDV_20250519T115644_20250519T115709_059263_rtc,2025-05-19T11:56:57.334441+00:00
